"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 24 15:00:54 GMT 2023","Tue Oct 24 15:01:05 GMT 2023","10895","Gradle suite","Gradle test","packag.tests.LearnTest","packag.tests.LearnTest","learnTest","learnTest",""
"passed","Tue Oct 24 15:01:05 GMT 2023","Tue Oct 24 15:01:06 GMT 2023","723","Gradle suite","Gradle test","packag.tests.LearnTest","packag.tests.LearnTest","lest","lest",""
